AMOREPACIFIC|Macys
AMOREPACIFIC|Sally Beauty
AMOREPACIFIC|Sephora
AMOREPACIFIC|Target
AMOREPACIFIC|Walgreens
BECCA|CVS
BECCA|Macys
BECCA|Nordstrom
BECCA|Sephora
BECCA|Ulta Beauty
Benefit Cosmetics|Target
Benefit Cosmetics|Ulta Beauty
Bobbi Brown|Sally Beauty
Bobbi Brown|Ulta Beauty
Bourjois|CVS
Bourjois|Walgreens
CLINIQUE|Target
CLINIQUE|Ulta Beauty
Estée Lauder|Sephora
Estée Lauder|Space NK
Giorgio Armani Beauty|CVS
Giorgio Armani Beauty|Ulta Beauty
Givenchy|Sally Beauty
Givenchy|Sephora
Givenchy|Space NK
IT Cosmetics|Nordstrom
IT Cosmetics|Space NK
IT Cosmetics|Target
IT Cosmetics|Ulta Beauty
Lancôme|Bergdorf Goodman
Lancôme|Macys
Lancôme|Nordstrom
Lancôme|Target
Lancôme|Ulta Beauty
Laura Mercier|CVS
MAC|Macys
MAC|Nordstrom
MAC|Ulta Beauty
Make Up For Ever|Bergdorf Goodman
Make Up For Ever|CVS
Make Up For Ever|Macys
Make Up For Ever|Sephora
Make Up For Ever|Ulta Beauty
Max Factor|Bergdorf Goodman
Max Factor|CVS
Max Factor|Ulta Beauty
Nars|CVS
Nars|Macys
Nars|Target
Nars|Ulta Beauty
Smashbox|Nordstrom
Smashbox|Sally Beauty
Smashbox|Ulta Beauty
Urban Decay|CVS
Urban Decay|Nordstrom
Urban Decay|Space NK
Urban Decay|Ulta Beauty
bareMinerals|CVS
bareMinerals|Space NK
tarte|Ulta Beauty
